Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Roll'd,Victoria Gardens,19,$8.63,$83.99,$83.99,0.05%,$0.00,0.00%,10,$559.91,âˆ…
Royal Stacks,Melbourne CBD,19,$73.76,$228.59,$228.59,0.14%,$0.00,0.00%,15,"$1,523.90",31/10/18
Queensberry Hotel,Carlton,18,$82.61,$75.05,$75.05,0.05%,$0.00,0.00%,15,$750.50,âˆ…
Au79 Cafe,Abbotsford,18,$113.12,$605.25,$605.25,0.37%,$0.00,0.00%,15,"$4,035.00",âˆ…
Mad Mex,Zetland,18,$46.10,$125.33,$125.33,0.08%,$0.00,0.00%,10,$835.50,22/09/18
PappaRich,Westfield Pitt Street,18,$60.72,$85.31,$56.87,0.03%,$28.44,5.00%,25,$568.70,23/03/19
Pablo and Rusty's,Sydney,18,$32.57,$0.00,$269.90,0.16%,-$269.90,-19.35%,15,"$1,394.85",30/09/19
Fratelli Fresh,Bridge Street,18,$41.34,$143.46,$143.46,0.09%,$0.00,0.00%,10,$956.40,30/11/18
Roll'd,Chifley,17,$36.85,$82.09,$82.09,0.05%,$0.00,0.00%,15,$547.30,14/05/18
Ajisen Ramen,Eastland Shopping Centre,17,$72.90,$252.38,$168.25,0.10%,$84.13,5.00%,10,"$1,682.55",âˆ…
Sam Sam Chicken,Melbourne CBD,17,$121.73,$504.20,$504.20,0.31%,$0.00,0.00%,10,"$5,042.04",28/02/19
Meet Fresh,Chinatown,16,$22.29,$317.47,$317.47,0.19%,$0.00,0.00%,25,"$3,174.70",13/04/19
Cafe Miiso,Glebe,16,$18.24,$70.00,$70.00,0.04%,$0.00,0.00%,10,$466.70,âˆ…
Roll'd,Gateway Sydney,16,$21.58,$121.19,$121.19,0.07%,$0.00,0.00%,11.25,$807.90,âˆ…
Sharetea,Eastland Shopping Centre,16,$10.41,$83.27,$83.27,0.05%,$0.00,0.00%,10,$832.70,03/02/19
Ajisen Ramen,Knox O-Zone,15,$102.64,$276.15,$184.10,0.11%,$92.05,5.00%,10,"$1,841.00",31/12/18
Danjee Korean BBQ,Sydney,15,$95.36,$123.10,$919.70,0.56%,-$796.60,-11.40%,21.52,"$6,990.00",25/05/19
D' Elephant Thai,Chadstone Shopping Centre,15,$138.15,$402.50,$402.50,0.24%,$0.00,0.00%,25,"$4,024.96",31/01/19
Banh and Butter,Sydney,15,$18.73,$89.13,$89.13,0.05%,$0.00,0.00%,20,$594.20,15/09/18
Calia,Chadstone Shopping Centre,14,$120.12,$0.00,"$2,307.99",1.40%,"-$2,307.99",-17.90%,20,"$12,896.16",âˆ…
PappaRich,Melbourne CBD,14,$26.22,$155.28,$103.52,0.06%,$51.76,5.00%,15,"$1,035.22",31/08/18
Roll'd,Australia Square,14,$4.36,$49.84,$49.84,0.03%,$0.00,0.00%,15,$332.30,14/05/18
Lord of the Fries,Corner Elizabeth & Flinders Street,14,$21.19,$149.78,$119.82,0.07%,$29.96,5.00%,10,$599.10,âˆ…
Ajisen Ramen,Westfield Southland,14,$5.07,$85.11,$56.74,0.03%,$28.37,5.00%,10,$567.40,31/12/18
The Poke Man,Melbourne CBD,14,$74.32,$209.59,$209.59,0.13%,$0.00,0.00%,25,"$1,397.30",30/06/18
Nutrition Station,Doncaster,13,$4.01,$25.88,$19.41,0.01%,$6.47,5.00%,15,$129.40,âˆ…
Piccolo Me,Spencer Street,13,$12.60,$36.88,$36.88,0.02%,$0.00,0.00%,20,$245.85,31/10/18
RivaReno Gelato,Barangaroo,12,$37.04,$150.15,$150.15,0.09%,$0.00,0.00%,15,"$1,001.00",19/01/19
Two Sticks,Barangaroo,11,$79.70,$503.68,$377.76,0.23%,$125.92,5.00%,15,"$2,518.40",âˆ…
